pg_path	mysql_category	mysql_domain	mysql_statement_key	status	reviewer	notes
skills/pg-sql-generation/references/statements/ddl/function/create_function.md	ddl	function	create_function	reference_created	stored/server	MySQL stored CREATE FUNCTION reference created; loadable functions kept out of this domain.
skills/pg-sql-generation/references/statements/ddl/function/alter_function.md	ddl	function	alter_function	reference_created	stored/server	MySQL ALTER FUNCTION reference created; only characteristics are alterable.
skills/pg-sql-generation/references/statements/ddl/function/drop_function.md	ddl	function	drop_function	reference_created	stored/server	MySQL stored DROP FUNCTION reference created.
skills/pg-sql-generation/references/statements/ddl/routine/alter_routine.md	ddl	routine	alter_routine	drop_pg_only	stored/server	MySQL has no ALTER ROUTINE statement; split to ALTER PROCEDURE and ALTER FUNCTION.
skills/pg-sql-generation/references/statements/ddl/routine/drop_routine.md	ddl	routine	drop_routine	drop_pg_only	stored/server	MySQL has no DROP ROUTINE statement; split to DROP PROCEDURE and DROP FUNCTION.
skills/pg-sql-generation/references/statements/ddl/trigger/create_trigger.md	ddl	trigger	create_trigger	reference_created	stored/server	MySQL CREATE TRIGGER reference created; PG statement-level and constraint trigger branches removed.
skills/pg-sql-generation/references/statements/ddl/trigger/drop_trigger.md	ddl	trigger	drop_trigger	reference_created	stored/server	MySQL DROP TRIGGER reference created.
skills/pg-sql-generation/references/statements/ddl/trigger/alter_trigger.md	ddl	trigger	alter_trigger	drop_pg_only	stored/server	MySQL 8.0.22 has no ALTER TRIGGER statement.
skills/pg-sql-generation/references/statements/ddl/event_trigger/create_event_trigger.md	ddl	event_trigger	create_event_trigger	drop_pg_only	stored/server	PostgreSQL event triggers are DDL hooks; MySQL EVENT is a scheduler object and is tracked separately.
skills/pg-sql-generation/references/statements/ddl/event_trigger/alter_event_trigger.md	ddl	event_trigger	alter_event_trigger	drop_pg_only	stored/server	PostgreSQL event triggers are not migrated to MySQL EVENT.
skills/pg-sql-generation/references/statements/ddl/event_trigger/drop_event_trigger.md	ddl	event_trigger	drop_event_trigger	drop_pg_only	stored/server	PostgreSQL event triggers are not migrated to MySQL EVENT.
mysql_missing	ddl	event	create_event	reference_created	stored/server	MySQL CREATE EVENT scheduler reference created.
mysql_missing	ddl	event	alter_event	reference_created	stored/server	MySQL ALTER EVENT scheduler reference created.
mysql_missing	ddl	event	drop_event	reference_created	stored/server	MySQL DROP EVENT scheduler reference created.
mysql_missing	ddl	server	create_server	reference_created	stored/server	MySQL CREATE SERVER reference created for FEDERATED server metadata.
mysql_missing	ddl	server	alter_server	reference_created	stored/server	MySQL ALTER SERVER reference created.
mysql_missing	ddl	server	drop_server	reference_created	stored/server	MySQL DROP SERVER reference created.
mysql_missing	ddl	tablespace	create_tablespace	reference_created	stored/server	MySQL CREATE TABLESPACE reference created with InnoDB/NDB execution risk factors.
skills/pg-sql-generation/references/statements/ddl/tablespace/alter_tablespace.md	ddl	tablespace	alter_tablespace	reference_created	stored/server	MySQL ALTER TABLESPACE reference created.
skills/pg-sql-generation/references/statements/ddl/tablespace/drop_tablespace.md	ddl	tablespace	drop_tablespace	reference_created	stored/server	MySQL DROP TABLESPACE reference created.
mysql_missing	ddl	logfile_group	create_logfile_group	reference_created	stored/server	MySQL CREATE LOGFILE GROUP reference created; default execution skips NDB-only positive cases.
mysql_missing	ddl	logfile_group	alter_logfile_group	reference_created	stored/server	MySQL ALTER LOGFILE GROUP reference created; default execution skips NDB-only positive cases.
mysql_missing	ddl	logfile_group	drop_logfile_group	reference_created	stored/server	MySQL DROP LOGFILE GROUP reference created; default execution skips NDB-only positive cases.
mysql_missing	admin	plugin	install_plugin	reference_created	stored/server	MySQL INSTALL PLUGIN reference created with dynamic-load risk isolation.
mysql_missing	admin	plugin	uninstall_plugin	reference_created	stored/server	MySQL UNINSTALL PLUGIN reference created with dynamic-load risk isolation.
mysql_missing	admin	component	install_component	reference_created	stored/server	MySQL INSTALL COMPONENT reference created; INSTALL COMPONENT SET excluded as post-8.0.22.
mysql_missing	admin	component	uninstall_component	reference_created	stored/server	MySQL UNINSTALL COMPONENT reference created.
mysql_missing	admin	instance	alter_instance	reference_created	stored/server	MySQL ALTER INSTANCE 8.0.22 subset created; RELOAD KEYRING excluded as 8.0.24.
mysql_missing	admin	resource_group	create_resource_group	reference_created	stored/server	MySQL CREATE RESOURCE GROUP reference created.
mysql_missing	admin	resource_group	alter_resource_group	reference_created	stored/server	MySQL ALTER RESOURCE GROUP reference created.
mysql_missing	admin	resource_group	drop_resource_group	reference_created	stored/server	MySQL DROP RESOURCE GROUP reference created.
mysql_missing	admin	resource_group	set_resource_group	reference_created	stored/server	MySQL SET RESOURCE GROUP reference created.
mysql_missing	ddl	spatial_reference_system	create_spatial_reference_system	reference_created	stored/server	MySQL CREATE SPATIAL REFERENCE SYSTEM reference created.
mysql_missing	ddl	spatial_reference_system	drop_spatial_reference_system	reference_created	stored/server	MySQL DROP SPATIAL REFERENCE SYSTEM reference created.
mysql_missing	ddl	table	rename_table	reference_created	stored/server	MySQL RENAME TABLE reference created.
skills/pg-sql-generation/references/statements/dcl/privilege/grant.md	dcl	privilege	grant	already_covered	remaining-review	MySQL GRANT reference already exists; PG-specific option shapes are rewritten to MySQL privilege, role, and proxy grants.
skills/pg-sql-generation/references/statements/ddl/access_method/create_access_method.md	ddl	access_method	create_access_method	drop_pg_only	remaining-review	MySQL 8.0.22 has no SQL object equivalent for PostgreSQL access methods.
skills/pg-sql-generation/references/statements/ddl/access_method/drop_access_method.md	ddl	access_method	drop_access_method	drop_pg_only	remaining-review	MySQL 8.0.22 has no DROP ACCESS METHOD equivalent.
skills/pg-sql-generation/references/statements/ddl/aggregate/alter_aggregate.md	ddl	aggregate	alter_aggregate	drop_pg_only	remaining-review	MySQL 8.0.22 has no user-defined aggregate DDL equivalent.
skills/pg-sql-generation/references/statements/ddl/aggregate/create_aggregate.md	ddl	aggregate	create_aggregate	drop_pg_only	remaining-review	MySQL 8.0.22 has no CREATE AGGREGATE equivalent.
skills/pg-sql-generation/references/statements/ddl/aggregate/drop_aggregate.md	ddl	aggregate	drop_aggregate	drop_pg_only	remaining-review	MySQL 8.0.22 has no DROP AGGREGATE equivalent.
skills/pg-sql-generation/references/statements/ddl/cast/create_cast.md	ddl	cast	create_cast	drop_pg_only	remaining-review	MySQL 8.0.22 has no CREATE CAST SQL object.
skills/pg-sql-generation/references/statements/ddl/cast/drop_cast.md	ddl	cast	drop_cast	drop_pg_only	remaining-review	MySQL 8.0.22 has no DROP CAST SQL object.
skills/pg-sql-generation/references/statements/ddl/collation/alter_collation.md	ddl	collation	alter_collation	rename_or_merge	remaining-review	MySQL collation behavior is covered by database/table/column charset and collation factors, not ALTER COLLATION.
skills/pg-sql-generation/references/statements/ddl/collation/create_collation.md	ddl	collation	create_collation	rename_or_merge	remaining-review	MySQL 8.0.22 has no CREATE COLLATION; use charset/collation factors on schema and table statements.
skills/pg-sql-generation/references/statements/ddl/collation/drop_collation.md	ddl	collation	drop_collation	rename_or_merge	remaining-review	MySQL 8.0.22 has no DROP COLLATION; use charset/collation factors on schema and table statements.
skills/pg-sql-generation/references/statements/ddl/comment/comment.md	ddl	comment	comment	rename_or_merge	remaining-review	MySQL has no COMMENT ON statement; comments are inline factors on table, column, index, routine, event, and account statements.
skills/pg-sql-generation/references/statements/ddl/conversion/alter_conversion.md	ddl	conversion	alter_conversion	drop_pg_only	remaining-review	MySQL 8.0.22 has no ALTER CONVERSION equivalent.
skills/pg-sql-generation/references/statements/ddl/conversion/create_conversion.md	ddl	conversion	create_conversion	drop_pg_only	remaining-review	MySQL 8.0.22 has no CREATE CONVERSION equivalent.
skills/pg-sql-generation/references/statements/ddl/conversion/drop_conversion.md	ddl	conversion	drop_conversion	drop_pg_only	remaining-review	MySQL 8.0.22 has no DROP CONVERSION equivalent.
skills/pg-sql-generation/references/statements/ddl/default_privileges/alter_default_privileges.md	ddl	default_privileges	alter_default_privileges	drop_pg_only	remaining-review	MySQL 8.0.22 has no ALTER DEFAULT PRIVILEGES equivalent for future objects.
skills/pg-sql-generation/references/statements/ddl/domain/alter_domain.md	ddl	domain	alter_domain	rename_or_merge	remaining-review	MySQL has no domain object; use column type, CHECK, DEFAULT, and NOT NULL factors.
skills/pg-sql-generation/references/statements/ddl/domain/create_domain.md	ddl	domain	create_domain	rename_or_merge	remaining-review	MySQL has no CREATE DOMAIN; use column type, CHECK, DEFAULT, and NOT NULL factors.
skills/pg-sql-generation/references/statements/ddl/domain/drop_domain.md	ddl	domain	drop_domain	rename_or_merge	remaining-review	MySQL has no DROP DOMAIN; domain intent is inline table/routine type coverage.
skills/pg-sql-generation/references/statements/ddl/extension/alter_extension.md	ddl	extension	alter_extension	drop_pg_only	remaining-review	MySQL plugin/component installation is instance-level administration and not a schema extension equivalent.
skills/pg-sql-generation/references/statements/ddl/extension/create_extension.md	ddl	extension	create_extension	drop_pg_only	remaining-review	MySQL plugin/component installation is not a CREATE EXTENSION equivalent.
skills/pg-sql-generation/references/statements/ddl/extension/drop_extension.md	ddl	extension	drop_extension	drop_pg_only	remaining-review	MySQL plugin/component installation is not a DROP EXTENSION equivalent.
skills/pg-sql-generation/references/statements/ddl/foreign_data_wrapper/alter_foreign_data_wrapper.md	ddl	foreign_data_wrapper	alter_foreign_data_wrapper	drop_pg_only	remaining-review	MySQL FEDERATED server metadata does not expose PostgreSQL FDW objects.
skills/pg-sql-generation/references/statements/ddl/foreign_data_wrapper/create_foreign_data_wrapper.md	ddl	foreign_data_wrapper	create_foreign_data_wrapper	drop_pg_only	remaining-review	MySQL 8.0.22 has no CREATE FOREIGN DATA WRAPPER.
skills/pg-sql-generation/references/statements/ddl/foreign_data_wrapper/drop_foreign_data_wrapper.md	ddl	foreign_data_wrapper	drop_foreign_data_wrapper	drop_pg_only	remaining-review	MySQL 8.0.22 has no DROP FOREIGN DATA WRAPPER.
skills/pg-sql-generation/references/statements/ddl/foreign_schema/import_foreign_schema.md	ddl	foreign_schema	import_foreign_schema	drop_pg_only	remaining-review	MySQL 8.0.22 has no IMPORT FOREIGN SCHEMA equivalent.
skills/pg-sql-generation/references/statements/ddl/foreign_table/alter_foreign_table.md	ddl	foreign_table	alter_foreign_table	rename_or_merge	remaining-review	MySQL foreign-table intent maps to CREATE/ALTER TABLE with ENGINE=FEDERATED and CREATE SERVER factors.
skills/pg-sql-generation/references/statements/ddl/foreign_table/create_foreign_table.md	ddl	foreign_table	create_foreign_table	rename_or_merge	remaining-review	MySQL foreign-table intent maps to CREATE TABLE ENGINE=FEDERATED or CONNECTION factors.
skills/pg-sql-generation/references/statements/ddl/foreign_table/drop_foreign_table.md	ddl	foreign_table	drop_foreign_table	rename_or_merge	remaining-review	MySQL foreign-table intent maps to DROP TABLE over FEDERATED tables.
skills/pg-sql-generation/references/statements/ddl/group/alter_group.md	ddl	group	alter_group	rename_or_merge	remaining-review	PostgreSQL groups merge into MySQL roles and accounts; no GROUP statement reference is created.
skills/pg-sql-generation/references/statements/ddl/group/create_group.md	ddl	group	create_group	rename_or_merge	remaining-review	PostgreSQL groups merge into MySQL CREATE ROLE and account grants.
skills/pg-sql-generation/references/statements/ddl/group/drop_group.md	ddl	group	drop_group	rename_or_merge	remaining-review	PostgreSQL groups merge into MySQL DROP ROLE and account grants.
skills/pg-sql-generation/references/statements/ddl/index/alter_index.md	ddl	index	alter_index	already_covered	remaining-review	MySQL has no standalone ALTER INDEX; covered by ALTER TABLE rename index and visible/invisible index branches.
skills/pg-sql-generation/references/statements/ddl/index/reindex.md	ddl	index	reindex	drop_pg_only	remaining-review	MySQL 8.0.22 has no REINDEX statement; maintenance intent is not equivalent to PG REINDEX.
skills/pg-sql-generation/references/statements/ddl/language/alter_language.md	ddl	language	alter_language	drop_pg_only	remaining-review	MySQL 8.0.22 has no procedural language DDL equivalent.
skills/pg-sql-generation/references/statements/ddl/language/create_language.md	ddl	language	create_language	drop_pg_only	remaining-review	MySQL 8.0.22 has no CREATE LANGUAGE equivalent.
skills/pg-sql-generation/references/statements/ddl/language/drop_language.md	ddl	language	drop_language	drop_pg_only	remaining-review	MySQL 8.0.22 has no DROP LANGUAGE equivalent.
skills/pg-sql-generation/references/statements/ddl/large_object/alter_large_object.md	ddl	large_object	alter_large_object	drop_pg_only	remaining-review	MySQL 8.0.22 has no PostgreSQL large object DDL equivalent.
skills/pg-sql-generation/references/statements/ddl/materialized_view/alter_materialized_view.md	ddl	materialized_view	alter_materialized_view	rename_or_merge	remaining-review	MySQL has no materialized view; cache-table intent can be modeled with tables plus event/procedure refresh.
skills/pg-sql-generation/references/statements/ddl/materialized_view/create_materialized_view.md	ddl	materialized_view	create_materialized_view	rename_or_merge	remaining-review	MySQL has no CREATE MATERIALIZED VIEW; use CREATE TABLE ... SELECT plus refresh workflow if needed.
skills/pg-sql-generation/references/statements/ddl/materialized_view/drop_materialized_view.md	ddl	materialized_view	drop_materialized_view	rename_or_merge	remaining-review	MySQL has no DROP MATERIALIZED VIEW; drop the backing table in table-based refresh patterns.
skills/pg-sql-generation/references/statements/ddl/materialized_view/refresh_materialized_view.md	ddl	materialized_view	refresh_materialized_view	rename_or_merge	remaining-review	MySQL has no REFRESH MATERIALIZED VIEW; use INSERT/REPLACE plus event/procedure refresh patterns.
skills/pg-sql-generation/references/statements/ddl/operator/alter_operator.md	ddl	operator	alter_operator	drop_pg_only	remaining-review	MySQL 8.0.22 has no user-defined operator DDL.
skills/pg-sql-generation/references/statements/ddl/operator/create_operator.md	ddl	operator	create_operator	drop_pg_only	remaining-review	MySQL 8.0.22 has no CREATE OPERATOR equivalent.
skills/pg-sql-generation/references/statements/ddl/operator/drop_operator.md	ddl	operator	drop_operator	drop_pg_only	remaining-review	MySQL 8.0.22 has no DROP OPERATOR equivalent.
skills/pg-sql-generation/references/statements/ddl/operator_class/alter_operator_class.md	ddl	operator_class	alter_operator_class	drop_pg_only	remaining-review	MySQL 8.0.22 has no operator class DDL equivalent.
skills/pg-sql-generation/references/statements/ddl/operator_class/create_operator_class.md	ddl	operator_class	create_operator_class	drop_pg_only	remaining-review	MySQL 8.0.22 has no CREATE OPERATOR CLASS equivalent.
skills/pg-sql-generation/references/statements/ddl/operator_class/drop_operator_class.md	ddl	operator_class	drop_operator_class	drop_pg_only	remaining-review	MySQL 8.0.22 has no DROP OPERATOR CLASS equivalent.
skills/pg-sql-generation/references/statements/ddl/operator_family/alter_operator_family.md	ddl	operator_family	alter_operator_family	drop_pg_only	remaining-review	MySQL 8.0.22 has no operator family DDL equivalent.
skills/pg-sql-generation/references/statements/ddl/operator_family/create_operator_family.md	ddl	operator_family	create_operator_family	drop_pg_only	remaining-review	MySQL 8.0.22 has no CREATE OPERATOR FAMILY equivalent.
skills/pg-sql-generation/references/statements/ddl/operator_family/drop_operator_family.md	ddl	operator_family	drop_operator_family	drop_pg_only	remaining-review	MySQL 8.0.22 has no DROP OPERATOR FAMILY equivalent.
skills/pg-sql-generation/references/statements/ddl/ownership/drop_owned.md	ddl	ownership	drop_owned	drop_pg_only	remaining-review	MySQL 8.0.22 has no DROP OWNED equivalent.
skills/pg-sql-generation/references/statements/ddl/ownership/reassign_owned.md	ddl	ownership	reassign_owned	drop_pg_only	remaining-review	MySQL 8.0.22 has no REASSIGN OWNED equivalent.
skills/pg-sql-generation/references/statements/ddl/policy/alter_policy.md	ddl	policy	alter_policy	drop_pg_only	remaining-review	MySQL 8.0.22 has no PostgreSQL row-level policy DDL.
skills/pg-sql-generation/references/statements/ddl/policy/create_policy.md	ddl	policy	create_policy	drop_pg_only	remaining-review	MySQL 8.0.22 has no CREATE POLICY equivalent.
skills/pg-sql-generation/references/statements/ddl/policy/drop_policy.md	ddl	policy	drop_policy	drop_pg_only	remaining-review	MySQL 8.0.22 has no DROP POLICY equivalent.
skills/pg-sql-generation/references/statements/ddl/publication/alter_publication.md	ddl	publication	alter_publication	drop_pg_only	remaining-review	MySQL 8.0.22 has no PostgreSQL publication DDL equivalent.
skills/pg-sql-generation/references/statements/ddl/publication/create_publication.md	ddl	publication	create_publication	drop_pg_only	remaining-review	MySQL 8.0.22 has no CREATE PUBLICATION equivalent.
skills/pg-sql-generation/references/statements/ddl/publication/drop_publication.md	ddl	publication	drop_publication	drop_pg_only	remaining-review	MySQL 8.0.22 has no DROP PUBLICATION equivalent.
skills/pg-sql-generation/references/statements/ddl/role/alter_role.md	ddl	role	alter_role	rename_or_merge	remaining-review	MySQL role/account alteration splits across ALTER USER, role grants, and SET DEFAULT ROLE.
skills/pg-sql-generation/references/statements/ddl/role/create_role.md	ddl	role	create_role	already_covered	remaining-review	MySQL CREATE ROLE reference already exists under account/role.
skills/pg-sql-generation/references/statements/ddl/role/drop_role.md	ddl	role	drop_role	already_covered	remaining-review	MySQL DROP ROLE reference already exists under account/role.
skills/pg-sql-generation/references/statements/ddl/rule/alter_rule.md	ddl	rule	alter_rule	drop_pg_only	remaining-review	MySQL 8.0.22 has no PostgreSQL rewrite rule DDL.
skills/pg-sql-generation/references/statements/ddl/rule/create_rule.md	ddl	rule	create_rule	drop_pg_only	remaining-review	MySQL 8.0.22 has no CREATE RULE equivalent.
skills/pg-sql-generation/references/statements/ddl/rule/drop_rule.md	ddl	rule	drop_rule	drop_pg_only	remaining-review	MySQL 8.0.22 has no DROP RULE equivalent.
skills/pg-sql-generation/references/statements/ddl/security_label/security_label.md	ddl	security_label	security_label	drop_pg_only	remaining-review	MySQL 8.0.22 has no SECURITY LABEL statement equivalent.
skills/pg-sql-generation/references/statements/ddl/sequence/alter_sequence.md	ddl	sequence	alter_sequence	rename_or_merge	remaining-review	MySQL has no sequence object; use AUTO_INCREMENT or test helper tables.
skills/pg-sql-generation/references/statements/ddl/sequence/create_sequence.md	ddl	sequence	create_sequence	rename_or_merge	remaining-review	MySQL has no CREATE SEQUENCE in 8.0.22; use AUTO_INCREMENT or test helper tables.
skills/pg-sql-generation/references/statements/ddl/sequence/drop_sequence.md	ddl	sequence	drop_sequence	rename_or_merge	remaining-review	MySQL has no DROP SEQUENCE in 8.0.22; use AUTO_INCREMENT or helper-table cleanup.
skills/pg-sql-generation/references/statements/ddl/server/alter_server.md	ddl	server	alter_server	already_covered	remaining-review	MySQL ALTER SERVER reference already exists for FEDERATED server metadata.
skills/pg-sql-generation/references/statements/ddl/server/create_server.md	ddl	server	create_server	already_covered	remaining-review	MySQL CREATE SERVER reference already exists for FEDERATED server metadata.
skills/pg-sql-generation/references/statements/ddl/server/drop_server.md	ddl	server	drop_server	already_covered	remaining-review	MySQL DROP SERVER reference already exists for FEDERATED server metadata.
skills/pg-sql-generation/references/statements/ddl/statistics/alter_statistics.md	ddl	statistics	alter_statistics	rename_or_merge	remaining-review	PostgreSQL extended statistics merge into MySQL ANALYZE TABLE histogram coverage.
skills/pg-sql-generation/references/statements/ddl/statistics/create_statistics.md	ddl	statistics	create_statistics	rename_or_merge	remaining-review	PostgreSQL CREATE STATISTICS merges into ANALYZE TABLE UPDATE HISTOGRAM coverage.
