test_id,category,old_type,new_type,algorithm,expected,row_count,ddl_duration,dml_ops,dml_errors,pre_ddl_qps,during_ddl_qps,ddl_qps_drop_pct,verification,details
LT-SMALL-BIG-IT,integer,SMALLINT,BIGINT,INSTANT,,100000,0.06,1001,0,90.8,93.7,-3.2,PASS,"{""test_id"": ""LT-SMALL-BIG-IT"", ""category"": ""integer"", ""old_type"": ""SMALLINT"", ""new_type"": ""BIGINT"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 2598474376)"", ""t2"": ""('ddl_test.t_large_oracle', 1443030398)""}, ""ddl"": {""success"": true, ""duration"": 0.06, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1001, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 231, ""errors"": 0}, ""UPDATE"": {""ops"": 105, ""errors"": 0}, ""DELETE"": {""op"
LT-MED-INT-IP,integer,MEDIUMINT,INT,INPLACE,,100000,0.25,1134,0,96.8,100.0,-3.3,PASS,"{""test_id"": ""LT-MED-INT-IP"", ""category"": ""integer"", ""old_type"": ""MEDIUMINT"", ""new_type"": ""INT"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 1481041253)"", ""t2"": ""('ddl_test.t_large_oracle', 2343535354)""}, ""ddl"": {""success"": true, ""duration"": 0.25, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1134, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 244, ""errors"": 0}, ""UPDATE"": {""ops"": 109, ""errors"": 0}, ""DELETE"": {""ops"": "
LT-MED-INT-IT,integer,MEDIUMINT,INT,INSTANT,,100000,0.05,1030,0,90.2,97.6,-8.2,PASS,"{""test_id"": ""LT-MED-INT-IT"", ""category"": ""integer"", ""old_type"": ""MEDIUMINT"", ""new_type"": ""INT"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 129486524)"", ""t2"": ""('ddl_test.t_large_oracle', 3512313626)""}, ""ddl"": {""success"": true, ""duration"": 0.05, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1030, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 219, ""errors"": 0}, ""UPDATE"": {""ops"": 107, ""errors"": 0}, ""DELETE"": {""ops"": 1"
LT-MED-BIG-IT,integer,MEDIUMINT,BIGINT,INSTANT,,100000,0.07,1011,0,92.0,91.5,0.5,PASS,"{""test_id"": ""LT-MED-BIG-IT"", ""category"": ""integer"", ""old_type"": ""MEDIUMINT"", ""new_type"": ""BIGINT"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 129486524)"", ""t2"": ""('ddl_test.t_large_oracle', 1905506568)""}, ""ddl"": {""success"": true, ""duration"": 0.07, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1011, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 247, ""errors"": 0}, ""UPDATE"": {""ops"": 99, ""errors"": 0}, ""DELETE"": {""ops"":"
LT-INTU-BIGINTU-IP,integer,INT UNSIGNED,BIGINT UNSIGNED,INPLACE,,100000,0.27,1218,0,104.5,110.8,-6.0,PASS,"{""test_id"": ""LT-INTU-BIGINTU-IP"", ""category"": ""integer"", ""old_type"": ""INT UNSIGNED"", ""new_type"": ""BIGINT UNSIGNED"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 36161112)"", ""t2"": ""('ddl_test.t_large_oracle', 3357703690)""}, ""ddl"": {""success"": true, ""duration"": 0.27, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1218, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 254, ""errors"": 0}, ""UPDATE"": {""ops"": 108, ""errors"": 0}, "
LT-INTU-BIGINTU-IT,integer,INT UNSIGNED,BIGINT UNSIGNED,INSTANT,,100000,0.05,1001,0,87.5,88.5,-1.1,PASS,"{""test_id"": ""LT-INTU-BIGINTU-IT"", ""category"": ""integer"", ""old_type"": ""INT UNSIGNED"", ""new_type"": ""BIGINT UNSIGNED"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 3740333962)"", ""t2"": ""('ddl_test.t_large_oracle', 2706609863)""}, ""ddl"": {""success"": true, ""duration"": 0.05, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1001, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 212, ""errors"": 0}, ""UPDATE"": {""ops"": 110, ""errors"": 0}"
LT-TINYU-SMALLU-IT,integer,TINYINT UNSIGNED,SMALLINT UNSIGNED,INSTANT,,100000,0.05,1024,0,88.1,92.1,-4.5,PASS,"{""test_id"": ""LT-TINYU-SMALLU-IT"", ""category"": ""integer"", ""old_type"": ""TINYINT UNSIGNED"", ""new_type"": ""SMALLINT UNSIGNED"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 3664943792)"", ""t2"": ""('ddl_test.t_large_oracle', 2944302751)""}, ""ddl"": {""success"": true, ""duration"": 0.05, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1024, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 239, ""errors"": 0}, ""UPDATE"": {""ops"": 104, ""error"
LT-TINYU-INTU-IT,integer,TINYINT UNSIGNED,INT UNSIGNED,INSTANT,,100000,0.05,1045,0,91.6,99.8,-9.0,PASS,"{""test_id"": ""LT-TINYU-INTU-IT"", ""category"": ""integer"", ""old_type"": ""TINYINT UNSIGNED"", ""new_type"": ""INT UNSIGNED"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 3664943792)"", ""t2"": ""('ddl_test.t_large_oracle', 2922563209)""}, ""ddl"": {""success"": true, ""duration"": 0.05, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1045, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 223, ""errors"": 0}, ""UPDATE"": {""ops"": 106, ""errors"": 0},"
LT-SMALLU-MEDU-IT,integer,SMALLINT UNSIGNED,MEDIUMINT UNSIGNED,INSTANT,,100000,0.05,1072,0,97.3,98.9,-1.6,PASS,"{""test_id"": ""LT-SMALLU-MEDU-IT"", ""category"": ""integer"", ""old_type"": ""SMALLINT UNSIGNED"", ""new_type"": ""MEDIUMINT UNSIGNED"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 2869832943)"", ""t2"": ""('ddl_test.t_large_oracle', 3283470459)""}, ""ddl"": {""success"": true, ""duration"": 0.05, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1072, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 236, ""errors"": 0}, ""UPDATE"": {""ops"": 107, ""erro"
LT-MEDU-INTU-IT,integer,MEDIUMINT UNSIGNED,INT UNSIGNED,INSTANT,,100000,0.07,1011,0,91.0,94.2,-3.5,PASS,"{""test_id"": ""LT-MEDU-INTU-IT"", ""category"": ""integer"", ""old_type"": ""MEDIUMINT UNSIGNED"", ""new_type"": ""INT UNSIGNED"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 773538921)"", ""t2"": ""('ddl_test.t_large_oracle', 1612489134)""}, ""ddl"": {""success"": true, ""duration"": 0.07, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1011, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 202, ""errors"": 0}, ""UPDATE"": {""ops"": 104, ""errors"": 0},"
LT-CHAR1-2-IP,char,CHAR(1),CHAR(2),INPLACE,,100000,0.29,1140,72,99.8,105.0,-5.2,PASS,"{""test_id"": ""LT-CHAR1-2-IP"", ""category"": ""char"", ""old_type"": ""CHAR(1)"", ""new_type"": ""CHAR(2)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 1906528214)"", ""t2"": ""('ddl_test.t_large_oracle', 44878429)""}, ""ddl"": {""success"": true, ""duration"": 0.29, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1140, ""dml_errors"": 72, ""dml_breakdown"": {""INSERT"": {""ops"": 258, ""errors"": 37}, ""UPDATE"": {""ops"": 103, ""errors"": 8}, ""DELETE"": {""ops"": 1"
LT-CHAR1-2-IT,char,CHAR(1),CHAR(2),INSTANT,,100000,0.05,981,57,82.8,97.7,-18.0,PASS,"{""test_id"": ""LT-CHAR1-2-IT"", ""category"": ""char"", ""old_type"": ""CHAR(1)"", ""new_type"": ""CHAR(2)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 1541476174)"", ""t2"": ""('ddl_test.t_large_oracle', 1126297773)""}, ""ddl"": {""success"": true, ""duration"": 0.05, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 981, ""dml_errors"": 57, ""dml_breakdown"": {""INSERT"": {""ops"": 229, ""errors"": 31}, ""UPDATE"": {""ops"": 95, ""errors"": 11}, ""DELETE"": {""ops"": "
LT-CHAR63-64-IT,char,CHAR(63),CHAR(64),INSTANT,,100000,0.06,974,0,88.4,90.8,-2.7,PASS,"{""test_id"": ""LT-CHAR63-64-IT"", ""category"": ""char"", ""old_type"": ""CHAR(63)"", ""new_type"": ""CHAR(64)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 310536028)"", ""t2"": ""('ddl_test.t_large_oracle', 2486184187)""}, ""ddl"": {""success"": true, ""duration"": 0.06, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 974, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 253, ""errors"": 0}, ""UPDATE"": {""ops"": 94, ""errors"": 0}, ""DELETE"": {""ops"": "
LT-CHAR63-64-IP,char,CHAR(63),CHAR(64),INPLACE,,100000,0.87,1136,0,91.3,98.1,-7.4,PASS,"{""test_id"": ""LT-CHAR63-64-IP"", ""category"": ""char"", ""old_type"": ""CHAR(63)"", ""new_type"": ""CHAR(64)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 3488986970)"", ""t2"": ""('ddl_test.t_large_oracle', 2411810625)""}, ""ddl"": {""success"": true, ""duration"": 0.87, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1136, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 230, ""errors"": 0}, ""UPDATE"": {""ops"": 101, ""errors"": 0}, ""DELETE"": {""ops"
LT-CHAR254-255-IP,char,CHAR(254),CHAR(255),INPLACE,,100000,3.51,1406,0,97.2,83.4,14.2,PASS,"{""test_id"": ""LT-CHAR254-255-IP"", ""category"": ""char"", ""old_type"": ""CHAR(254)"", ""new_type"": ""CHAR(255)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 3542520711)"", ""t2"": ""('ddl_test.t_large_oracle', 1418371094)""}, ""ddl"": {""success"": true, ""duration"": 3.51, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1406, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 314, ""errors"": 0}, ""UPDATE"": {""ops"": 122, ""errors"": 0}, ""DELETE"": {"
LT-CHAR254-255-IT,char,CHAR(254),CHAR(255),INSTANT,,100000,0.06,910,0,80.6,89.2,-10.7,PASS,"{""test_id"": ""LT-CHAR254-255-IT"", ""category"": ""char"", ""old_type"": ""CHAR(254)"", ""new_type"": ""CHAR(255)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 208336205)"", ""t2"": ""('ddl_test.t_large_oracle', 3204405692)""}, ""ddl"": {""success"": true, ""duration"": 0.06, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 910, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 211, ""errors"": 0}, ""UPDATE"": {""ops"": 93, ""errors"": 0}, ""DELETE"": {""op"
LT-VAR1-2-IP,varchar,VARCHAR(1),VARCHAR(2),INPLACE,,100000,0.04,1024,61,95.0,101.9,-7.3,PASS,"{""test_id"": ""LT-VAR1-2-IP"", ""category"": ""varchar"", ""old_type"": ""VARCHAR(1)"", ""new_type"": ""VARCHAR(2)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 1594066370)"", ""t2"": ""('ddl_test.t_large_oracle', 1594066370)""}, ""ddl"": {""success"": true, ""duration"": 0.04, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1024, ""dml_errors"": 61, ""dml_breakdown"": {""INSERT"": {""ops"": 225, ""errors"": 31}, ""UPDATE"": {""ops"": 96, ""errors"": 10}, ""DELETE"":"
LT-VAR1-2-IT,varchar,VARCHAR(1),VARCHAR(2),INSTANT,,100000,0.04,999,51,92.8,93.5,-0.8,PASS,"{""test_id"": ""LT-VAR1-2-IT"", ""category"": ""varchar"", ""old_type"": ""VARCHAR(1)"", ""new_type"": ""VARCHAR(2)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 31935342)"", ""t2"": ""('ddl_test.t_large_oracle', 31935342)""}, ""ddl"": {""success"": true, ""duration"": 0.04, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 999, ""dml_errors"": 51, ""dml_breakdown"": {""INSERT"": {""ops"": 237, ""errors"": 26}, ""UPDATE"": {""ops"": 99, ""errors"": 7}, ""DELETE"": {""ops"
LT-VAR254-255-IP,varchar,VARCHAR(254),VARCHAR(255),INPLACE,,100000,0.04,1118,0,100.3,0,100.0,PASS,"{""test_id"": ""LT-VAR254-255-IP"", ""category"": ""varchar"", ""old_type"": ""VARCHAR(254)"", ""new_type"": ""VARCHAR(255)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 670603993)"", ""t2"": ""('ddl_test.t_large_oracle', 670603993)""}, ""ddl"": {""success"": true, ""duration"": 0.04, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1118, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 258, ""errors"": 0}, ""UPDATE"": {""ops"": 107, ""errors"": 0}, ""DELE"
LT-VAR254-255-IT,varchar,VARCHAR(254),VARCHAR(255),INSTANT,,100000,0.04,1029,0,86.3,96.1,-11.4,PASS,"{""test_id"": ""LT-VAR254-255-IT"", ""category"": ""varchar"", ""old_type"": ""VARCHAR(254)"", ""new_type"": ""VARCHAR(255)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 936256736)"", ""t2"": ""('ddl_test.t_large_oracle', 936256736)""}, ""ddl"": {""success"": true, ""duration"": 0.04, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1029, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 240, ""errors"": 0}, ""UPDATE"": {""ops"": 106, ""errors"": 0}, ""DELE"
LT-VAR255-256-IP,varchar,VARCHAR(255),VARCHAR(256),INPLACE,,100000,0.24,1190,0,99.8,99.9,-0.1,PASS,"{""test_id"": ""LT-VAR255-256-IP"", ""category"": ""varchar"", ""old_type"": ""VARCHAR(255)"", ""new_type"": ""VARCHAR(256)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 670603993)"", ""t2"": ""('ddl_test.t_large_oracle', 670603993)""}, ""ddl"": {""success"": true, ""duration"": 0.24, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1190, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 231, ""errors"": 0}, ""UPDATE"": {""ops"": 110, ""errors"": 0}, ""DELE"
LT-VAR255-256-IT,varchar,VARCHAR(255),VARCHAR(256),INSTANT,,100000,0.05,1031,0,87.6,95.2,-8.7,PASS,"{""test_id"": ""LT-VAR255-256-IT"", ""category"": ""varchar"", ""old_type"": ""VARCHAR(255)"", ""new_type"": ""VARCHAR(256)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 936256736)"", ""t2"": ""('ddl_test.t_large_oracle', 936256736)""}, ""ddl"": {""success"": true, ""duration"": 0.05, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1031, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 247, ""errors"": 0}, ""UPDATE"": {""ops"": 108, ""errors"": 0}, ""DELE"
LT-VAR85-86U3-IP,varchar,VARCHAR(85),VARCHAR(86),INPLACE,,100000,0.24,1105,0,93.8,95.7,-2.0,PASS,"{""test_id"": ""LT-VAR85-86U3-IP"", ""category"": ""varchar"", ""old_type"": ""VARCHAR(85)"", ""new_type"": ""VARCHAR(86)"", ""algorithm"": ""INPLACE"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 670603993)"", ""t2"": ""('ddl_test.t_large_oracle', 670603993)""}, ""ddl"": {""success"": true, ""duration"": 0.24, ""error"": null, ""algorithm"": ""INPLACE""}, ""dml_ops"": 1105, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 255, ""errors"": 0}, ""UPDATE"": {""ops"": 107, ""errors"": 0}, ""DELETE"
LT-VAR85-86U3-IT,varchar,VARCHAR(85),VARCHAR(86),INSTANT,,100000,0.08,1012,0,87.7,95.0,-8.3,PASS,"{""test_id"": ""LT-VAR85-86U3-IT"", ""category"": ""varchar"", ""old_type"": ""VARCHAR(85)"", ""new_type"": ""VARCHAR(86)"", ""algorithm"": ""INSTANT"", ""target_rows"": 100000, ""row_count"": 100000, ""checksum_pre"": {""t1"": ""('ddl_test.t_large', 936256736)"", ""t2"": ""('ddl_test.t_large_oracle', 936256736)""}, ""ddl"": {""success"": true, ""duration"": 0.08, ""error"": null, ""algorithm"": ""INSTANT""}, ""dml_ops"": 1012, ""dml_errors"": 0, ""dml_breakdown"": {""INSERT"": {""ops"": 220, ""errors"": 0}, ""UPDATE"": {""ops"": 100, ""errors"": 0}, ""DELETE"
